Alabama        AL    Montgomery
Alaska         AK    Juneau
Arizona        AZ    Phoenix
Arkansas       AR    Little_Rock
California     CA    Sacramento
Colorado       CO    Denver
Connecticut    CT    Hartford
Delaware       DE    Dover
Florida        FL    Tallahassee 
Georgia        GA    Atlanta
Hawaii         HI    Honolulu
Idaho          ID    Boise
Illinois       IL    Springfield
Indiana        IN    Indianapolis
Iowa           IA    Des_Moines
Kansas         KS    Topeka
Kentucky       KY    Frankfort
Louisiana      LA    Baton_Rouge
Maine          ME    Augusta
Maryland       MD    Annapolis
Massachusetts  MA    Boston
Michigan       MI    Lansing
Minnesota      MN    St._Paul
Mississippi    MS    Jackson
Missouri       MO    Jefferson_City
Montana        MT    Helena
Nebraska       NE    Lincoln
Nevada         NV    Carson_City
New_Hampshire  NH    Concord
New_Jersey     NJ    Trenton
New_Mexico     NM    Santa_Fe
New_York       NY    Albany
North_Carolina NC    Raleigh
North_Dakota   ND    Bismarck
Ohio           OH    Columbus
Oklahoma       OK    Oklahoma_City
Oregon         OR    Salem
Pennsylvania   PA    Harrisburg
Rhode_Island   RI    Providence
South_Carolina SC    Columbia
South_Dakota   SD    Pierre
Tennessee      TN    Nashville
Texas          TX    Austin
Utah           UT    Salt_Lake_City
Vermont        VT    Montpelier
Virginia       VA    Richmond
Washington     WA    Olympia
West_Virginia  WV    Charleston
Wisconsin      WI    Madison
Wyoming        WY    Cheyenne
